Date,Open,High,Low,Close,Volume,Adj Close
2004-10-28,49.98,52.22,49.5,52.19,30866600,26.09
2004-10-29,51.84,53.2,51.8,52.4,28936400,26.2
2004-11-01,52.5,53.26,52.04,52.45,21501800,26.23
2004-11-02,52.4,54.08,52.4,53.5,26071000,26.75
2004-11-03,54.37,56.11,53.99,55.31,43006200,27.66
2004-11-04,55.03,55.55,54.37,54.45,33165200,27.23
2004-11-05,54.86,55,52.04,54.72,43037400,27.36
2004-11-08,54.27,55.45,53.86,54.38,18818600,27.19
2004-11-09,54.23,54.55,53.38,54.05,16991600,27.02
2004-11-10,53.95,55.39,53.91,54.75,18167000,27.38
2004-11-11,54.95,55.43,54.23,55.3,14546400,27.65
2004-11-12,55.01,55.69,54.84,55.5,14132200,27.75
2004-11-15,55.2,55.46,54.34,55.24,13430200,27.62
2004-11-16,55.16,55.2,54.48,54.94,10539400,27.47
2004-11-17,55.19,55.45,54.22,54.9,14205400,27.45
2004-11-18,54.3,55.45,54.29,55.39,16398200,27.69
2004-11-19,55.49,56.91,54.5,55.17,27331400,27.58
2004-11-22,61.8,64,57.9,61.35,91721800,30.67
2004-11-23,62.3,62.45,61.05,61.27,32551800,30.64
2004-11-24,61.69,65.2,61.55,64.05,49671000,32.03
2004-11-26,65.35,65.76,64.34,64.55,19648000,32.28
2004-11-29,68.95,69.57,67.41,68.44,61175600,34.22
2004-11-30,68.79,68.79,67.05,67.05,36732800,33.53
2004-12-01,67.79,67.95,66.27,67.79,28591200,33.9
2004-12-02,66.13,66.9,64.66,65.21,35265800,32.6
2004-12-03,64.53,65,61.75,62.68,44244600,31.34
2004-12-06,64.25,66.24,62.95,65.78,44568600,32.89
2004-12-07,65.93,66.73,62.56,62.89,37746400,31.44
2004-12-08,63.08,64.43,62.05,63.28,24710800,31.64
2004-12-09,62.81,64.4,62.07,63.99,26482200,32
2004-12-10,65.03,66.05,64.7,65.15,27706200,32.58
2004-12-13,65.62,65.9,64.6,64.91,14108600,32.46
2004-12-14,65.4,65.88,65.02,65.29,14847200,32.65
2004-12-15,65.24,65.46,64.66,65.26,14227200,32.63
2004-12-16,66.15,67.5,66.05,66.6,40218400,33.3
2004-12-17,66.84,67.04,64.9,64.99,27982000,32.49
2004-12-20,65.47,66,61.76,62.72,41718800,31.36
2004-12-21,63.56,63.77,61.6,63.69,38014800,31.84
2004-12-22,63.66,64.36,63.4,63.75,20208200,31.88
2004-12-23,63.75,64.25,63.6,64.01,8783200,32.01
2004-12-27,64.8,65.15,62.88,63.16,19981800,31.58
2004-12-28,63.3,64.25,62.05,64.18,21848400,32.09
2004-12-29,63.81,64.98,63.57,64.44,16055800,32.22
2004-12-30,64.81,65.03,64.22,64.8,12333600,32.4
2004-12-31,64.89,65,64.03,64.4,9949600,32.2
2005-01-03,64.78,65.11,62.6,63.29,24714000,31.65
2005-01-04,63.79,65.47,62.97,63.94,39171800,31.97
2005-01-05,64.46,65.25,64.05,64.5,24301200,32.25
2005-01-06,64.67,64.91,63.33,64.55,25198400,32.28
2005-01-07,65,69.63,64.75,69.25,79551800,34.62
2005-01-10,69.83,70.7,67.88,68.96,61618200,34.48
2005-01-11,68.25,69.15,64.14,64.56,93272400,32.28
2005-01-12,65.45,65.9,63.3,65.46,68560800,32.73
2005-01-13,73.71,74.42,69.73,69.8,113025600,34.9
2005-01-14,70.25,71.72,69.19,70.2,63240800,35.1
2005-01-18,69.85,70.7,67.75,70.65,35945000,35.33
2005-01-19,70.49,71.46,69.75,69.88,26853400,34.94
2005-01-20,69.65,71.27,69.47,70.46,32675800,35.23
2005-01-21,71.31,71.6,70,70.49,32547600,35.24
2005-01-24,70.98,71.78,70.55,70.76,30058200,35.38
2005-01-25,71.37,72.84,70.94,72.05,34615400,36.03
2005-01-26,72.66,72.75,71.22,72.25,26410600,36.12
2005-01-27,72.16,72.92,71.55,72.64,17722400,36.32
2005-01-28,72.62,73.98,72.44,73.98,28629000,36.99
2005-01-31,74.58,77.89,74.51,76.9,60039200,38.45
2005-02-01,77.05,77.77,76.58,77.53,24228400,38.76
2005-02-02,77.95,79.91,77.69,79.63,36430800,39.81
2005-02-03,79.1,79.43,77.33,77.81,26130400,38.9
2005-02-04,77.87,78.93,77.53,78.84,20127000,39.42
2005-02-07,78.93,79.35,77.5,78.94,18730600,39.47
2005-02-08,79.07,81.38,78.79,80.9,31786400,40.45
2005-02-09,81.04,81.99,78.1,78.74,42552000,39.37
2005-02-10,78.72,79.28,76.66,78.36,39036400,39.18
2005-02-11,79.86,81.76,78.94,81.21,42894800,40.6
2005-02-14,82.73,84.79,82.05,84.63,45409400,42.31
2005-02-15,86.66,89.08,86,88.41,82579200,44.21
2005-02-16,88.15,90.2,87.35,90.13,58544400,45.06
2005-02-17,90.65,90.88,87.45,87.81,54231200,43.9
2005-02-18,87.74,87.86,86.25,86.81,41544800,43.4
2005-02-22,86.3,88.3,85.29,85.29,43546200,42.65
2005-02-23,86.72,88.45,85.55,88.23,48042200,44.12
2005-02-24,88.48,89.31,87.73,88.93,54251000,44.47
2005-02-25,89.62,89.91,88.19,88.99,32696800,44.49
2005-02-28,44.68,45.14,43.96,44.86,23271800,44.86
2005-03-01,44.99,45.11,44.16,44.5,16721000,44.5
2005-03-02,44.25,44.89,44.08,44.12,16362900,44.12
2005-03-03,44.37,44.41,41.22,41.79,50416200,41.79
2005-03-04,42.76,43.01,41.85,42.81,27022100,42.81
2005-03-07,42.8,43.25,42.35,42.75,16094000,42.75
2005-03-08,41.9,42.16,40.1,40.53,36480400,40.53
